round,mae,rmse,acc,macro_f1,recall
1,0.04791579,0.09445185,0.89025123,0.75802993,0.73860726
2,0.03923363,0.09040316,0.89581819,0.77655612,0.76380498
3,0.04057648,0.09208362,0.89651829,0.77888322,0.76680495
4,0.03776868,0.08949826,0.89706660,0.77967343,0.76747101
5,0.03770868,0.08931888,0.89720202,0.77975508,0.76761667
6,0.03681999,0.08832049,0.89722283,0.77996570,0.76782245
7,0.03692500,0.08845017,0.89743764,0.78076936,0.76912563
8,0.03679186,0.08819582,0.89764526,0.78117036,0.76993922
9,0.03707525,0.08826047,0.89764724,0.78215033,0.77301980
10,0.03722493,0.08845413,0.89765874,0.78160093,0.77161502
11,0.03788365,0.08906616,0.89761474,0.78235252,0.77364949
12,0.03750106,0.08845618,0.89765492,0.78190733,0.77250917
13,0.03776261,0.08849942,0.89762925,0.78233486,0.77378541
14,0.03797686,0.08860361,0.89762660,0.78233857,0.77388836
15,0.03707297,0.08754124,0.89786847,0.78167576,0.77166827
16,0.03694939,0.08742514,0.89789218,0.78128522,0.77111586
17,0.03697072,0.08749455,0.89798604,0.78130095,0.77119047
18,0.03639014,0.08699709,0.89794657,0.77955986,0.76728092
19,0.03654526,0.08723230,0.89793616,0.77993356,0.76862590
20,0.03648805,0.08716382,0.89797442,0.78015525,0.76888636
21,0.03647414,0.08718522,0.89798822,0.77950949,0.76766699
22,0.03632709,0.08715104,0.89804996,0.77922485,0.76676106
23,0.03642301,0.08732662,0.89804079,0.77871391,0.76568476
24,0.03631336,0.08715201,0.89808508,0.77884483,0.76620959
25,0.03662211,0.08751280,0.89797705,0.77864858,0.76572635
26,0.03660920,0.08725841,0.89806634,0.77903282,0.76682627
27,0.03678033,0.08746200,0.89812015,0.77953372,0.76804153
28,0.03678627,0.08747754,0.89800269,0.77800720,0.76461494
29,0.03684144,0.08757049,0.89799042,0.77808331,0.76517565
30,0.03647712,0.08714157,0.89798934,0.77802115,0.76521360
31,0.03678120,0.08746816,0.89793739,0.77712166,0.76323136
32,0.03642646,0.08704257,0.89808620,0.77837096,0.76616041
