round,mae,rmse,acc,macro_f1,recall
1,0.04098976403474808,0.09078209847211838,0.8927968790392705,0.7701543315520766,0.7575571367329743
2,0.03682003170251846,0.09009697288274765,0.8967375619844422,0.7804918308881093,0.768874426499232
3,0.03676460310816765,0.08993023633956909,0.8971192216399144,0.7809201823944123,0.7686257666418858
4,0.03679710626602173,0.08969736844301224,0.8972639890954384,0.782221414022582,0.7709691807585007
5,0.03651681914925575,0.08974705636501312,0.8976127470564734,0.7825587309314004,0.7711915809335107
6,0.036446426063776016,0.08957941830158234,0.8976992315104227,0.781988418318579,0.7694679499193449
7,0.036420539021492004,0.08938007801771164,0.8978195577072219,0.7822818091992072,0.7696546220780811
8,0.03635350987315178,0.08927629142999649,0.8979774858405208,0.7828708261070453,0.7708198211852082
9,0.0363527275621891,0.08926514536142349,0.8980395290357454,0.7829188507189628,0.7709110183596127
10,0.036335721611976624,0.08919753134250641,0.8980602101008202,0.7829450815618262,0.7710673250946761
11,0.036264773458242416,0.08925964683294296,0.8980912316984325,0.782555984966957,0.7700376926778346
12,0.03629395365715027,0.08931371569633484,0.8981748960071444,0.7828125951303987,0.7706108679461974
13,0.036257773637771606,0.08925312757492065,0.8982811214777561,0.7830208820479864,0.7709610086381102
14,0.03618781268596649,0.08922223746776581,0.8982623205095063,0.7827152265201262,0.7700526659974549
15,0.03609977290034294,0.08927986025810242,0.8983939272872553,0.7828209320183656,0.7702767139122936
16,0.03622540459036827,0.08914727717638016,0.8983732462221804,0.7834677776088859,0.7717029333102228
17,0.03605399653315544,0.0891035869717598,0.8985621959530916,0.783445645301617,0.7715125939518929
18,0.03604196012020111,0.08915232867002487,0.8985415148880167,0.7829835284620336,0.7702829900407424
19,0.03607754409313202,0.08905640244483948,0.8985142534840544,0.783317607122636,0.7711422058233603
20,0.036052849143743515,0.08894748240709305,0.8985527954689666,0.7834925201792527,0.7714027085125377
21,0.036010559648275375,0.088939368724823,0.8986797020046532,0.7838944381610686,0.7721265624391896
22,0.03602826967835426,0.08895397931337357,0.8986533806491034,0.7836062391883264,0.7714624242659025
23,0.03601069375872612,0.08897139132022858,0.8986956828276657,0.7838248388092183,0.7718735417475658
24,0.036009397357702255,0.0889660194516182,0.8985856971634039,0.7832635704469755,0.7707606906101407
25,0.035969026386737823,0.08897434920072556,0.8986383398745036,0.7834659788338245,0.7710831684453342
26,0.035963866859674454,0.08898486196994781,0.8986609010364034,0.7834893937547657,0.7710021505181484
27,0.035982199013233185,0.08885657787322998,0.8986834621983032,0.7836592106386744,0.7715998728351411
28,0.03593505546450615,0.08895019441843033,0.8986919226340156,0.7834649478048129,0.7709724794514938
29,0.03596445918083191,0.08895760029554367,0.8986909825856032,0.7836106580045354,0.7712508607373989
30,0.0359504297375679,0.08886013925075531,0.8986421000681535,0.7834357318938827,0.7709641489323167
31,0.03594657778739929,0.08887830376625061,0.8987069634086156,0.7836456849821741,0.7713945784546319
32,0.03591841831803322,0.08892595767974854,0.8987577260228902,0.783638638231619,0.7713032766553414
33,0.03591562807559967,0.08906608074903488,0.8986975629244907,0.783020726680079,0.7698197301646953
34,0.03592183068394661,0.08894477039575577,0.8987774670395525,0.783532642785549,0.7709420083419444
35,0.03591708466410637,0.08894471824169159,0.8988019082982773,0.7837666648108326,0.7713508851013982
36,0.03590494766831398,0.08900727331638336,0.8987784070879651,0.7834582789991822,0.7706937329446993
37,0.03592446818947792,0.08894116431474686,0.8987323447157528,0.7832856520307186,0.7701933476743933
38,0.03593141585588455,0.08891325443983078,0.8987182439895655,0.7832276702393535,0.77010425981954
39,0.03589803725481033,0.08893343806266785,0.8987718267490776,0.7835726525390794,0.7708759190986108
40,0.035926371812820435,0.08899550884962082,0.8987943879109774,0.7836137133760209,0.7708903951609404
41,0.03589707240462303,0.08895484358072281,0.8987511456840027,0.7832981358728066,0.770246066200367
42,0.035884130746126175,0.08896002918481827,0.8987577260228902,0.7832186302321182,0.7700975717045774
43,0.035903315991163254,0.08896655589342117,0.8988056684919273,0.7835834152271688,0.7708036518509587
44,0.0359007827937603,0.08892063796520233,0.8988254095085897,0.7839238454352703,0.7716133577361952
45,0.03593485429883003,0.0888872966170311,0.8987755869427275,0.783360793276712,0.7701662902141967
46,0.03588997572660446,0.0890006572008133,0.8988019082982773,0.7831848014025604,0.769742660054696
47,0.03586551919579506,0.08897753059864044,0.8988141289276398,0.7835307949200678,0.7706933051039179
48,0.0359053798019886,0.08888519555330276,0.8987596061197152,0.783754965374095,0.7713419095160721
49,0.03585318103432655,0.0889856144785881,0.8988169490728772,0.7834008836775035,0.7704885980974623
50,0.0358697883784771,0.08890578150749207,0.8987812272332025,0.7835258201846622,0.7707382411266106
51,0.03588264808058739,0.08882252871990204,0.8988150689760522,0.7837152717512285,0.7710929232851415
52,0.03590075299143791,0.08882007002830505,0.8987972080562149,0.7840909511738913,0.7720951770056834
53,0.035868726670742035,0.08893047273159027,0.8988282296538271,0.7839932641945031,0.7717215544819089
54,0.03587232157588005,0.08886401355266571,0.8987680665554276,0.7835856339623014,0.7709767610677958
55,0.03589136525988579,0.08887049555778503,0.8987567859744777,0.7839694851984091,0.7718644034625416
56,0.03586669638752937,0.08882109820842743,0.8987492655871777,0.7835634363194361,0.7710496215889447
57,0.03586733341217041,0.08880417793989182,0.8987398651030528,0.783805118372648,0.77171482079349
58,0.03586171567440033,0.08882521837949753,0.8987596061197152,0.7838282528374144,0.7717361143058014
59,0.03586274012923241,0.08883735537528992,0.8987276444736904,0.7835163094098387,0.7711751584151331
60,0.035831380635499954,0.08892611414194107,0.8987342248125778,0.7830927281457484,0.7701019807836591
61,0.03587927296757698,0.08883029222488403,0.8986627811332284,0.7829226423435923,0.7699348429921072
62,0.035845085978507996,0.08895117044448853,0.8986900425371906,0.7826968255968343,0.7692603999003206
63,0.035850152373313904,0.0888265073299408,0.8986797020046532,0.7829086940178206,0.769807237312912
64,0.03587750345468521,0.08886465430259705,0.8987511456840027,0.7832120991823768,0.7701569572380371
65,0.03585518151521683,0.08885078132152557,0.8986947427792531,0.7830833808384376,0.7701551187851562
66,0.03586708381772041,0.08885738998651505,0.8987163638927405,0.7829842399206128,0.7697816046292253
67,0.035871054977178574,0.08886615186929703,0.8986693614721158,0.7828612938525282,0.7696118066019313
68,0.03591233864426613,0.08881785720586777,0.8986270592935536,0.7827441081832374,0.769402552139993
69,0.035933736711740494,0.08882328867912292,0.898572536485629,0.7823338071211132,0.7686095673480189
70,0.03594151884317398,0.08887089043855667,0.8985650160983291,0.7822873480111927,0.7684946416413718
71,0.035880811512470245,0.08886232227087021,0.8985753566308665,0.7824516220913896,0.7688235712665945
72,0.035858236253261566,0.08888287097215652,0.8985509153721417,0.7821453882528313,0.7682558038817351
73,0.035837676376104355,0.08897943794727325,0.8986618410848158,0.7822873012000823,0.768257684139547
74,0.035852279514074326,0.08887539058923721,0.8986138986157787,0.7823542525488953,0.7687025960897331
75,0.035842787474393845,0.08880621194839478,0.8986458602618035,0.7825996457327391,0.7692571365112342
76,0.03584062308073044,0.08888363093137741,0.8986007379380038,0.7822406973644661,0.7683531728913447
77,0.035854190587997437,0.0888233631849289,0.8986110784705412,0.7822590273759454,0.7684028731625788
78,0.03584427759051323,0.08885220438241959,0.8986383398745036,0.7824978586427299,0.7688785991697189
79,0.03582502529025078,0.0888381227850914,0.8987201240863905,0.7828659314516143,0.7696138835429078
80,0.035816799849271774,0.08886022120714188,0.8987633663133652,0.7828890876482083,0.7696362137043813
81,0.03582378476858139,0.08885553479194641,0.8987248243284529,0.7826634455598676,0.7691259378966472
82,0.03581760451197624,0.08882929384708405,0.8987549058776527,0.7830535373956488,0.7700934929512305
83,0.03581877797842026,0.088874951004982,0.898643040116566,0.7825262569836255,0.7690487784536322
84,0.03581960126757622,0.08886753767728806,0.898715423844328,0.7829779572107722,0.7698324684104222
85,0.0358208604156971,0.08891681581735611,0.8987069634086156,0.7828538921730509,0.769523227416799
86,0.03581700101494789,0.08887360990047455,0.8986740617141783,0.7826003342071145,0.7690326299218171
87,0.03580159321427345,0.08890049904584885,0.8987755869427275,0.7831741827278751,0.7702417178098797
88,0.03583168238401413,0.08884340524673462,0.8985885173086414,0.7825023710514852,0.7690209999811869
89,0.03581170365214348,0.08891093730926514,0.8986956828276657,0.78272116669051,0.7693721807958276
90,0.035812947899103165,0.08891355246305466,0.8986665413268783,0.7827817192176979,0.7694055337945308
91,0.03581409901380539,0.08886131644248962,0.8986599609879908,0.7828342300140846,0.7695928931745715
92,0.03581088408827782,0.08888678252696991,0.8987182439895655,0.7828335098745944,0.7694017344123525
93,0.03580693528056145,0.08886512368917465,0.8987464454419403,0.7830588073506185,0.76977038251232
94,0.035810429602861404,0.08893310278654099,0.8987520857324153,0.7829375878584339,0.7693525299371805
95,0.03581499308347702,0.08882557600736618,0.8987699466522526,0.7833322702830584,0.7704767966399989
96,0.035796426236629486,0.0889025628566742,0.8987671265070151,0.7828986044837799,0.7694271803384803
