round,mae,rmse,acc,macro_f1,recall
1,0.04410276934504509,0.0920332819223404,0.891343564193556,0.7608076251756947,0.7427156528492826
2,0.037511195987463,0.08914465457201004,0.8963953843622947,0.7804006097209477,0.7694543242308428
3,0.038373079150915146,0.08899784088134766,0.8964931493971939,0.7836727240658081,0.776028111457027
4,0.03720583766698837,0.08886981755495071,0.8972423679819511,0.782163983243473,0.7710999918439313
5,0.037116892635822296,0.08868861198425293,0.8974115766961999,0.7824897978121758,0.7713408067202145
6,0.03699987754225731,0.08854164928197861,0.8975648045874363,0.7823069341212571,0.7706094617455397
7,0.03701687231659889,0.08844105154275894,0.8975582242485488,0.782210708370535,0.7702532156786658
8,0.03722964599728584,0.08833806216716766,0.8975883057977486,0.7824035291660081,0.7705693043190514
9,0.03722042217850685,0.08813813328742981,0.8975676247326737,0.7825734680585613,0.7711168286964545
10,0.03702068701386452,0.08820322901010513,0.8977302531080351,0.7825212441748567,0.7705737838764148
11,0.03689754009246826,0.08816226571798325,0.8978816009024465,0.7826102219018145,0.7704411884746867
12,0.036786388605833054,0.08818323910236359,0.8979746656952833,0.7829603391475083,0.7711296960628704
13,0.03672146052122116,0.08818253129720688,0.8979671453079834,0.7830181454860901,0.7714370647821274
14,0.036739200353622437,0.08818726241588593,0.897880660854034,0.7825190712853105,0.7703279867065896
15,0.03659750893712044,0.08826452493667603,0.898021668115908,0.7825819528952779,0.770242416045656
16,0.03659489005804062,0.08822179585695267,0.8980273084063829,0.7824920404637649,0.7698578459568338
17,0.036791518330574036,0.08818842470645905,0.8980244882611454,0.7826937034433797,0.7703139184988804
18,0.036665163934230804,0.08810901641845703,0.8980667904397076,0.7825016229223302,0.7699155015572586
19,0.03670426830649376,0.0880594253540039,0.898151394796832,0.7827968705038624,0.7703963125258284
20,0.03668226674199104,0.08803016692399979,0.8981222532960448,0.7826871003565372,0.7702934294512798
21,0.03663612902164459,0.08813389390707016,0.8979991069540081,0.7818346748223283,0.7685303535843879
22,0.03665431961417198,0.08804941177368164,0.8980968719889074,0.782199340631878,0.7692466282865491
23,0.03668144345283508,0.08807753771543503,0.8980630302460577,0.7822121050834095,0.7691599992522911
24,0.03662223368883133,0.08803427219390869,0.8981025122793824,0.7821335368739556,0.7690674672504427
25,0.03661271184682846,0.08803056925535202,0.8980508096166953,0.7822897608848283,0.7695946047753296
26,0.036626674234867096,0.08799432963132858,0.89809781203732,0.7820746608593253,0.769008681078948
27,0.036636415868997574,0.08800201117992401,0.8981137928603323,0.7821767316235154,0.7692924074739348
28,0.03662150725722313,0.0880284532904625,0.8981241333928698,0.7821830734228568,0.7690857449353216
29,0.036612577736377716,0.08802879601716995,0.8981260134896947,0.7825746342829711,0.7699597425874034
30,0.03665979206562042,0.08801842480897903,0.8980714906817701,0.7822604283392651,0.7694733011424194
31,0.036612797528505325,0.08803354203701019,0.8980855914079575,0.7822064969456086,0.769174858037114
32,0.03661063313484192,0.08800188452005386,0.898155154990482,0.7825988644338603,0.7699716427589354
33,0.03665713220834732,0.08801532536745071,0.8980931117952574,0.7819371622120951,0.7686935593403849
34,0.0365912951529026,0.08802937716245651,0.8981109727150949,0.7822283465715427,0.769441229866098
35,0.03662765771150589,0.08801797032356262,0.8982012173626942,0.7827310416591421,0.7702198619836098
36,0.036615222692489624,0.0880187526345253,0.8981072125214449,0.7822512904196839,0.7694257007373131
37,0.03668367490172386,0.08797433972358704,0.8980263683579705,0.7821749781296011,0.7695746582462565
38,0.03666813299059868,0.08798196166753769,0.898021668115908,0.7819498241142608,0.7689497819906755
39,0.03674139082431793,0.08794999867677689,0.8980639702944702,0.7822611483313441,0.7696145746913109
40,0.03669732064008713,0.08800312876701355,0.8981241333928698,0.7825597512015581,0.7699432808066643
41,0.03671051189303398,0.08793549239635468,0.8980808911658951,0.7824365781744641,0.7699239172283703
42,0.036653634160757065,0.08794146776199341,0.8980931117952574,0.7826103463472738,0.7702592956365975
43,0.03663135692477226,0.08795158565044403,0.8982012173626942,0.7829671097106602,0.770725758549037
44,0.03661370649933815,0.08793085068464279,0.8981748960071444,0.7829479890107025,0.7708660528377305
45,0.036777421832084656,0.08791719377040863,0.898095931940495,0.7830153732909301,0.7711721248796956
46,0.036694109439849854,0.08793862909078598,0.8980996921341449,0.782789997402773,0.7707520110329125
47,0.03668220713734627,0.08791430294513702,0.8980470494230453,0.7830391387638039,0.7715693536868973
48,0.03675733134150505,0.08791624754667282,0.8980649103428826,0.7830687718475682,0.771454183809254
49,0.036800723522901535,0.0879051685333252,0.8981090926182699,0.7831390617136104,0.7714534007267406
50,0.03679346665740013,0.08792458474636078,0.8980508096166953,0.7830717299702388,0.7712966445225906
51,0.03669638931751251,0.0879327729344368,0.8980987520857324,0.7831028214329312,0.7712898301154517
52,0.036710549145936966,0.0878988653421402,0.8981767761039694,0.7833057831811127,0.7715743995891149
53,0.036660101264715195,0.08789574354887009,0.8981137928603323,0.7828665033155217,0.7707281212106076
54,0.0366593562066555,0.08793438971042633,0.898149514700007,0.7827139715259388,0.7702955126309897
55,0.03658784180879593,0.08789198845624924,0.8982341190571315,0.7830278664815237,0.7707896854245186
56,0.036537107080221176,0.08790475130081177,0.8982632605579187,0.782770425268404,0.7702060518665317
57,0.03657437860965729,0.08792084455490112,0.8982435195412564,0.7828048348829622,0.7702170306488744
58,0.036516040563583374,0.08792641758918762,0.8983253037531432,0.7832612365082967,0.7711637506705807
59,0.03652983903884888,0.08790680766105652,0.8982529200253813,0.783105446371541,0.7708699859226541
60,0.03655117750167847,0.08792270720005035,0.8982331790087189,0.7830040790147879,0.7706646069046797
61,0.036533016711473465,0.08791635185480118,0.898221898427769,0.7828561924011919,0.7703734417065625
62,0.03652332350611687,0.0879037007689476,0.8982642006063313,0.7829917880425679,0.7705429032181514
63,0.03646446019411087,0.08795111626386642,0.8982369392023689,0.7826484377036953,0.7698936556590587
64,0.036472123116254807,0.08793556690216064,0.8983046226880684,0.7831522581329431,0.7708681615663104
65,0.03644708916544914,0.08795207738876343,0.898294282155531,0.7830342439601455,0.7706619525735918
66,0.03649483621120453,0.08790942281484604,0.898298042349181,0.7832768872120024,0.7711611938833495
67,0.036526694893836975,0.08791232854127884,0.8983187234142558,0.7834553858037298,0.7715375734320455
68,0.0364978201687336,0.08789511770009995,0.8982717209936312,0.7830191035542471,0.770669683971113
69,0.036525972187519073,0.08793329447507858,0.898294282155531,0.7833487390640711,0.7712390798212498
70,0.036454059183597565,0.08794128894805908,0.8983582054475806,0.7830552144108507,0.7703953260631556
71,0.036480266600847244,0.08794853836297989,0.8983403445277431,0.783338420682939,0.7711150751859079
72,0.03649354726076126,0.08792312443256378,0.8982858217198185,0.7830605446965251,0.7707581934177605
73,0.03645677864551544,0.08791592717170715,0.8983121430753683,0.783103154403455,0.7706460093363747
74,0.036515284329652786,0.08789364248514175,0.8982914620102935,0.7832527281094784,0.7710952094520478
75,0.036489684134721756,0.08792300522327423,0.8983046226880684,0.7832435573890131,0.7710956145833904
76,0.03644111007452011,0.08792146295309067,0.8983196634626683,0.7830099356174842,0.7705482815938414
77,0.03646264225244522,0.08789976686239243,0.898359145495993,0.7833942340375246,0.7713105576652384
78,0.03650088235735893,0.08789840340614319,0.8982726610420436,0.7831530858747713,0.7708684650701667
79,0.0365227609872818,0.08788424730300903,0.8983506850602806,0.7834753864549564,0.7713902510160995
80,0.036469507962465286,0.08788364380598068,0.8983450447698056,0.7831823253027625,0.770830213843406
81,0.036522794514894485,0.08788293600082397,0.8983065027848934,0.7833524273829942,0.7713358483316093
82,0.03653561323881149,0.08786916732788086,0.8983130831237809,0.7833031511999133,0.7711712880259357
83,0.03651776909828186,0.08790896832942963,0.8983638457380555,0.783619023876535,0.7716477499896552
84,0.036481328308582306,0.08783643692731857,0.898368545980118,0.7833909031847173,0.7714093072513633
85,0.036446768790483475,0.08787304908037186,0.8983647857864681,0.7833030268356856,0.7712257259338844
86,0.036463551223278046,0.0878186970949173,0.8983713661253555,0.7834565009225487,0.7715542212043116
87,0.03648834303021431,0.08783703297376633,0.8983506850602806,0.7833149182043364,0.7712887427178385
88,0.036539848893880844,0.08782023191452026,0.8983356442856807,0.7836857929049028,0.7720822593764022
89,0.03652358427643776,0.08784379810094833,0.8983027425912434,0.7832317569451271,0.7710595996080749
90,0.03656911849975586,0.0878363773226738,0.8983102629785434,0.7831946143061861,0.7710718302013472
91,0.036574892699718475,0.0878227949142456,0.8983318840920307,0.7837736347507182,0.7721845646320373
92,0.03649147227406502,0.08785825967788696,0.8983177833658433,0.7832725108465284,0.7710853878422507
93,0.03656211867928505,0.08783774822950363,0.898353505205518,0.7835654357183023,0.7716580947111471
94,0.03653472661972046,0.08786330372095108,0.8984099081102677,0.7835920872582836,0.7715246747100929
95,0.036500073969364166,0.08788145333528519,0.8983102629785434,0.7832243851824574,0.7710550423355608
96,0.03647555038332939,0.08790629357099533,0.8984014476745552,0.7834673950090403,0.7712635618151795
97,0.036536213010549545,0.08788875490427017,0.8983431646729807,0.7835378882079989,0.7716706659307228
98,0.036533255130052567,0.08787836879491806,0.8983544452539306,0.7834181164701175,0.7713778748069039
99,0.03647753968834877,0.0878768116235733,0.8984268289816926,0.783439022395265,0.7711723930911294
100,0.03656425699591637,0.08789493888616562,0.8983271838499682,0.7834093704475045,0.7713624065877037
101,0.036572832614183426,0.0878894031047821,0.8983027425912434,0.7831756634298683,0.7709882999115388
102,0.036622900515794754,0.08787267655134201,0.8983384644309181,0.7833894588207068,0.7713520573874081
103,0.03651460260152817,0.0878896415233612,0.8984042678197928,0.7834860134672311,0.7713973203824093
104,0.03650667518377304,0.08788523823022842,0.8983253037531432,0.7833178502868334,0.771206883756055
105,0.03649931401014328,0.08788387477397919,0.8984080280134427,0.7835898882703253,0.7716041601850029
