round,mae,rmse,acc,macro_f1,recall
1,0.04791579,0.09445185,0.89025123,0.75802993,0.73860726
2,0.04021271,0.09117604,0.89580879,0.77641215,0.76365377
3,0.04257126,0.09405022,0.89647895,0.77827827,0.76616999
4,0.03816773,0.08992795,0.89701723,0.77891782,0.76667756
5,0.03813351,0.08991448,0.89714316,0.77885448,0.76667104
6,0.03666504,0.08808115,0.89714777,0.77893963,0.76674488
7,0.03692882,0.08842186,0.89735165,0.77960682,0.76790515
8,0.03672722,0.08803328,0.89755106,0.77978250,0.76848208
9,0.03714631,0.08831969,0.89754407,0.78072173,0.77152011
10,0.03732043,0.08861219,0.89755100,0.78006154,0.76999818
11,0.03822180,0.08970420,0.89749544,0.78067895,0.77189182
12,0.03767812,0.08877544,0.89752837,0.78016409,0.77067838
13,0.03823455,0.08940889,0.89749377,0.78053676,0.77189744
14,0.03856230,0.08973617,0.89748243,0.78048221,0.77193933
15,0.03698711,0.08734105,0.89771569,0.77976839,0.76966699
16,0.03681434,0.08712660,0.89773099,0.77933100,0.76906230
17,0.03685244,0.08722941,0.89781688,0.77930491,0.76909403
18,0.03607238,0.08633857,0.89776918,0.77752003,0.76514488
19,0.03632039,0.08675971,0.89775088,0.77785233,0.76644917
20,0.03623663,0.08663842,0.89778167,0.77803623,0.76667502
21,0.03625470,0.08672433,0.89778848,0.77735398,0.76542171
22,0.03607063,0.08661623,0.89784339,0.77703080,0.76448143
23,0.03621477,0.08688824,0.89782787,0.77648375,0.76337220
24,0.03605658,0.08661706,0.89786635,0.77658095,0.76386828
25,0.03649063,0.08722802,0.89775294,0.77635293,0.76335967
26,0.03648464,0.08686256,0.89783687,0.77670733,0.76443425
27,0.03672535,0.08713028,0.89788537,0.77718037,0.76562479
28,0.03673550,0.08715421,0.89776274,0.77562817,0.76217436
29,0.03681745,0.08728135,0.89774570,0.77568019,0.76271220
30,0.03632594,0.08661730,0.89773995,0.77559600,0.76272895
31,0.03670923,0.08716008,0.89768340,0.77467657,0.76072671
32,0.03625473,0.08650393,0.89782811,0.77590800,0.76363654
33,0.03693245,0.08742010,0.89771452,0.77505370,0.76170881
34,0.03685959,0.08713038,0.89779357,0.77580004,0.76351717
35,0.03673673,0.08713034,0.89767746,0.77454522,0.76098007
36,0.03711915,0.08742617,0.89775855,0.77565780,0.76334547
37,0.03673335,0.08741300,0.89772516,0.77420959,0.75994270
38,0.03750849,0.08752251,0.89759403,0.77472097,0.76172089
39,0.03657318,0.08746973,0.89783616,0.77486822,0.76165510
40,0.03698031,0.08751508,0.89758852,0.77369352,0.75952675
41,0.03704256,0.08745596,0.89772258,0.77508404,0.76283181
42,0.03680970,0.08751853,0.89764619,0.77344933,0.75878201
43,0.03675003,0.08732104,0.89772492,0.77431411,0.76100527
44,0.03700030,0.08761272,0.89771618,0.77360211,0.75916053
45,0.03653110,0.08717805,0.89757404,0.77315568,0.75894380
46,0.03673547,0.08752102,0.89764251,0.77319665,0.75876404
47,0.03640243,0.08731301,0.89763959,0.77338784,0.75962804
48,0.03681471,0.08735233,0.89763198,0.77335263,0.75947709
49,0.03685514,0.08722409,0.89765918,0.77367069,0.76056637
50,0.03691937,0.08744154,0.89750878,0.77239538,0.75796245
51,0.03639994,0.08738367,0.89773347,0.77263388,0.75813876
52,0.03656118,0.08742845,0.89759530,0.77221074,0.75767073
53,0.03692867,0.08735952,0.89754746,0.77264387,0.75883584
54,0.03641772,0.08750849,0.89766598,0.77260761,0.75871900
55,0.03646529,0.08742618,0.89750719,0.77138243,0.75645731
56,0.03654536,0.08743121,0.89764645,0.77241951,0.75863958
57,0.03640183,0.08746200,0.89753096,0.77147053,0.75696517
58,0.03666270,0.08758814,0.89755743,0.77183204,0.75806148
59,0.03607736,0.08729571,0.89757366,0.77134305,0.75679549
60,0.03641203,0.08748364,0.89745638,0.77102319,0.75666068
61,0.03585098,0.08752250,0.89753467,0.77088924,0.75641775
62,0.03647313,0.08753232,0.89745131,0.77025916,0.75491129
63,0.03602816,0.08750435,0.89747800,0.77060721,0.75609439
64,0.03632912,0.08761168,0.89739755,0.76957715,0.75396590
65,0.03610986,0.08751859,0.89749942,0.77069294,0.75652136
66,0.03626296,0.08770732,0.89733996,0.76896081,0.75277884
67,0.03657790,0.08761803,0.89738269,0.77049187,0.75678229
68,0.03597499,0.08764024,0.89738687,0.76877521,0.75258522
69,0.03672074,0.08766127,0.89738734,0.77015438,0.75605553
70,0.03607068,0.08752945,0.89745187,0.76930058,0.75384661
71,0.03648431,0.08774786,0.89729352,0.76887556,0.75335805
72,0.03670697,0.08765275,0.89728842,0.76947260,0.75506041
73,0.03628469,0.08754167,0.89724385,0.76828135,0.75240213
74,0.03598506,0.08745589,0.89738262,0.76862923,0.75305541
75,0.03623924,0.08754670,0.89730897,0.76817506,0.75210356
76,0.03612660,0.08736340,0.89733878,0.76827011,0.75258957
77,0.03620857,0.08754378,0.89723514,0.76743777,0.75107693
78,0.03621450,0.08754668,0.89732029,0.76786082,0.75175402
79,0.03625413,0.08748360,0.89720734,0.76754592,0.75155823
80,0.03620837,0.08745811,0.89723348,0.76772051,0.75246604
81,0.03643772,0.08749842,0.89717325,0.76727725,0.75128456
82,0.03614272,0.08748398,0.89718933,0.76664654,0.75010698
83,0.03632943,0.08747712,0.89713187,0.76664658,0.75043513
84,0.03603417,0.08744040,0.89724089,0.76693259,0.75110309
85,0.03650228,0.08752458,0.89718919,0.76668412,0.75051936
86,0.03627926,0.08746764,0.89719853,0.76666014,0.75080753
87,0.03638460,0.08753896,0.89715730,0.76638101,0.75019597
88,0.03582436,0.08750893,0.89722287,0.76624950,0.75018317
89,0.03636509,0.08744093,0.89697576,0.76547432,0.74873816
90,0.03621453,0.08734289,0.89719889,0.76617652,0.75008892
91,0.03620803,0.08745239,0.89703975,0.76531195,0.74848039
92,0.03597463,0.08722888,0.89706596,0.76552055,0.74938367
93,0.03597607,0.08755677,0.89687820,0.76437812,0.74721098
94,0.03600985,0.08729221,0.89704652,0.76532658,0.74932230
95,0.03628465,0.08752418,0.89689531,0.76448956,0.74760454
96,0.03617304,0.08731388,0.89699905,0.76501815,0.74886866
97,0.03637186,0.08738368,0.89687889,0.76452373,0.74795598
98,0.03633652,0.08735232,0.89699863,0.76499902,0.74892285
99,0.03611369,0.08745588,0.89686641,0.76383569,0.74675496
100,0.03602568,0.08742512,0.89702194,0.76468641,0.74875553
101,0.03596420,0.08741300,0.89691888,0.76389510,0.74715729
102,0.03612719,0.08731671,0.89690327,0.76400657,0.74775086
